9,4,1,0,2
9,4,1,0,3
9,4,1,0,4
9,4,1,0,5
9,4,1,0,7
9,4,1,0,8
9,4,1,0,9
9,4,1,1,0
9,4,1,1,1
9,4,1,1,2
9,4,1,1,4
9,4,1,1,5
9,4,1,1,6
9,4,1,1,7
9,4,1,1,8
9,4,1,1,9
9,4,1,2,0
9,4,1,2,1
9,4,1,2,2
9,4,1,2,3
9,4,1,2,4
9,4,1,2,5
9,4,1,2,6
9,4,1,2,7
9,4,1,2,8
9,4,1,2,9
9,4,1,3,0
9,4,1,3,1
9,4,1,3,2
9,4,1,3,3
9,4,1,3,4
9,4,1,3,7
9,4,1,3,9
9,4,1,4,0
9,4,1,4,1
9,4,1,4,2
9,4,1,4,3
9,4,1,4,4
9,4,1,4,5
9,4,1,4,6
9,4,1,4,7
9,4,1,5,1
9,4,1,5,3
9,4,1,5,4
9,4,1,5,6
9,4,1,5,8
9,4,1,5,9
9,4,1,6,0
9,4,1,6,1
9,4,1,6,2
9,4,1,6,3
9,4,1,6,4
9,4,1,7,1
9,4,1,7,2
9,4,1,7,7
9,4,1,8,8
